facility_code,institution,city,state,zip,country,type,correspondence,flight,bah,cross,ope,insturl,vet_tuition_policy_url,pred_degree_awarded,locale,gibill,undergrad_enrollment,yr,student_veteran,student_veteran_link,poe,eight_keys,dodmou,sec_702,vetsuccess_name,vetsuccess_email,credit_for_mil_training,vet_poc,student_vet_grp_ipeds,soc_member,va_highest_degree_offered,retention_rate_veteran_ba,retention_all_students_ba,retention_rate_veteran_otb,retention_all_students_otb,persistance_rate_veteran_ba,persistance_rate_veteran_otb,graduation_rate_veteran,graduation_rate_all_students,transfer_out_rate_veteran,transfer_out_rate_all_students,salary_all_students,repayment_rate_all_students,avg_stu_loan_debt,calendar,tuition_in_state,tuition_out_of_state,books,online_all,p911_tuition_fees,p911_recipients,p911_yellow_ribbon,p911_yr_recipients,accredited,accreditation_type,accreditation_status,caution_flag,caution_flag_reason,complaints_facility_code,complaints_financial_by_fac_code,complaints_quality_by_fac_code,complaints_refund_by_fac_code,complaints_marketing_by_fac_code,complaints_accreditation_by_fac_code,complaints_degree_requirements_by_fac_code,complaints_student_loans_by_fac_code,complaints_grades_by_fac_code,complaints_credit_transfer_by_fac_code,complaints_job_by_fac_code,complaints_transcript_by_fac_code,complaints_other_by_fac_code,complaints_main_campus_roll_up,complaints_financial_by_ope_id_do_not_sum,complaints_quality_by_ope_id_do_not_sum,complaints_refund_by_ope_id_do_not_sum,complaints_marketing_by_ope_id_do_not_sum,complaints_accreditation_by_ope_id_do_not_sum,complaints_degree_requirements_by_ope_id_do_not_sum,complaints_student_loans_by_ope_id_do_not_sum,complaints_grades_by_ope_id_do_not_sum,complaints_credit_transfer_by_ope_id_do_not_sum,complaints_jobs_by_ope_id_do_not_sum,complaints_transcript_by_ope_id_do_not_sum,complaints_other_by_ope_id_do_not_sum
15011313,PROSPECT HIGH SCHOOL,MT PROSPECT,IL,60056,USA,Public,,,2065,NONE,NONE,,,,,,,,,,,,,Yes,,,,,,,NCD,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20D22238,#1 CYCLE CENTER H D INC,CENTRE HALL,PA,16828,USA,OJT,,,1321,NONE,NONE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10500121,104TH FIGHTER WING BARNES ANG BASE,WESTFIELD,MA,1085,USA,OJT,,,1522,NONE,NONE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10261530,108 ARW DET 1 NJANG WARREN GROVE RANGE,McGuire Air Force Base,NJ,8641,USA,OJT,,,1978,NONE,NONE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30251015,132 FIGHTER WING-IOWA NATIONAL GUARD FIRE DEPARTMENT,DES MOINES,IA,50321,USA,OJT,,,1423,NONE,NONE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10710725,14TH MILITARY POLICE BRIGADE,FORT LEONARD WOOD,MO,65473,USA,OJT,,,1075,NONE,NONE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25075613,160 DRIVING ACADEMY,PEORIA,IL,61613,USA,For Profit,,,1210,NONE,NONE,,,,,,,,,,,,,,,,,,,,NCD,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10544330,177 FW FIRE DEPARTMENT NEW JERSEY AIR NATIONAL GUARD,Egg Harbor Township,NJ,8234,USA,OJT,,,1672,NONE,NONE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10467015,185TH AIR REFUELING WING- IOWA AIR NATIONAL GUARD FIRE DEPARTMENT,SIOUX CITY,IA,51111,USA,OJT,,,1186,NONE,NONE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25061646,1ST CDL TRAINING CENTER OF NOVA,ALEXANDRIA,VA,22303,USA,For Profit,,,2302,NONE,NONE,,,,,,,,,,,,,,,,,,,,NCD,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202B7405,2 SKIS,HESPERIA,CA,92345,USA,OJT,,,1813,NONE,NONE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20009038,21ST CENTURY SIGNS,WILLIAMSPORT,PA,17701,USA,OJT,,,1375,NONE,NONE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25183205,24-7 CLASSROOM,SANTA ANA,CA,92701,USA,For Profit,,,2449,NONE,NONE,,,,,,,,,,,,,,,,,,,,NCD,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10C31843,249TH FINANCIAL MGMT DETACHMENT,AUSTIN,TX,78763,USA,OJT,,,1585,NONE,NONE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10674925,27TH RECRUITING AND RETENTION BATTALION,MACON,MO,63552,USA,OJT,,,1072,NONE,NONE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25384632,29TH STREET REP SCHOOL OF THEATER,NEW YORK,NY,10001,USA,For Profit,,,3775,NONE,NONE,,,,,,,,,,,,,,,,,,,,NCD,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20621340,2ND WIND HEATING & AIR CONDITIONING,COLUMBIA,SC,29223,USA,OJT,,,1432,NONE,NONE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20D02749,3 D SOLUTIONS,WAUKESHA,WI,53186,USA,OJT,,,1591,NONE,NONE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25803616,360 BARBER COLLEGE LLC,WICHITA,KS,67203,USA,For Profit,,,1015,NONE,NONE,,,,,,,,,,,,,,,,,,,,NCD,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25110643,360 DEGREES BEAUTY ACADEMY,HOUSTON,TX,77084,USA,For Profit,,,1639,455363,"""04146600""",,,,,,,,,,,,,,,,,,,,NCD,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20328541,3M,BROOKINGS,SD,57006,USA,OJT,,,1261,NONE,NONE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20328841,3M,ABERDEEN,SD,57401,USA,OJT,,,1147,NONE,NONE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20595225,3M COMPANY,SPRINGFIELD,MO,65802,USA,OJT,,,898,NONE,NONE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20189922,3RC INC,MACOMB,MI,48042,USA,OJT,,,1648,NONE,NONE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20178612,4 J ELECTRIC,LEWISTON,ID,83501,USA,OJT,,,1186,NONE,NONE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10715864,413TH CONTRACTING SUPPORT BRIGADE,SCHOFIELD BARRACKS,HI,96857,USA,OJT,,,3010,NONE,NONE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10664225,4207TH US ARMY HOSPITAL,GREENTOP,MO,63546,USA,OJT,,,1072,NONE,NONE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10669536,448TH SCMW-OMM,TINKER AFB,OK,73145,USA,OJT,,,1168,NONE,NONE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30O89705,46 NORTHERN CALIFORNIA COUNTIES DRYWALL-LATHING JATC,HAYWARD,CA,94545,USA,OJT,,,3148,NONE,NONE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10A93806,4TH JUDICIAL DIST ATTYS OFF,COLORADO SPRINGS,CO,80903,USA,OJT,,,1441,NONE,NONE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
